"Author","Article","weight"
"118528","1437273",1
"118528","1485175",2
"1186248","1404574",1
"1186329","1324174",1
"1186329","1356091",1
"1186329","1367382",1
"1186329","1397210",1
"1186329","1450455",1
"1186329","1452775",1
"1186329","1587015",1
"1186329","1655224",1
"1186597","1324555",1
"118680","1502801",1
"1188138","1549869",1
"118844","1112111",1
"1190184","1337930",1
"1190695","1433513",3
"1190695","1619819",1
"119080","1306733",3
"119080","1396754",1
"119080","1690513",1
"119080","1725533",1
"1191097","1328334",1
"1191099","1328334",1
"1191101","1328334",1
"1191201","1328334",1
"1191203","1328334",1
"1191414","1571774",1
"1191416","1657486",1
"1191828","1329029",1
"1191828","1512491",1
"1191918","1329111",1
"119209","1579773",2
"119223","1626026",2
"119225","1542897",1
"1193585","1436584",1
"1193585","1708504",1
"1194382","1640489",1
"1194382","1679772",1
"1194431","1711261",1
"1195469","1336045",2
"1195469","1396375",1
"1195469","1427590",1
"1195469","1535351",1
"1196910","1270637",1
"1196910","1353824",1
"1196910","1353862",1
"1196910","1472068",1
"1196910","1569990",1
"1196910","1724892",1
"1198112","1552174",1
"1198223","1334051",1
"1198851","1650609",1
"1198952","1270637",1
"1198952","1334382",2
"1199635","1650607",1
"1201912","1642323",1
"1201944","1443769",1
"1201944","1487068",1
"1203379","1338026",1
"1203714","1338653",1
"1203714","1665196",1
"1203883","1338024",1
"1203883","1650623",1
"1204153","1373622",1
"1204328","1715465",1
"1204926","1572441",1
"1206219","1674117",1
"1206789","1510512",1
"1207122","1359801",1
"1207715","1551756",2
"1207715","1653895",1
"1207719","1548961",1
"1207719","1548967",1
"1207719","1548969",1
"1207719","1549003",1
"1207959","1351612",1
"1208103","1553005",2
"1208260","1700502",1
"1211285","1471569",1
"1211435","1683974",1
"1211504","1345353",1
"1211705","1452064",1
"1211894","1359885",1
"1211894","1393315",1
"1211894","1553793",1
"1211894","1617997",1
"1213","1011230",1
"1213","876962",1
"1213447","1346906",1
"1213461","1346910",1
"1213462","1346910",1
"1213466","1346910",1
"1213467","1346910",1
"1213470","1346910",1
"1213479","1525681",2
"1213567","1346967",1
"1213572","1346967",1
"1213596","1346967",1
"1213606","1346978",1
"1213610","1346978",1
"1213612","1346978",1
"1213618","1346979",1
"1213624","1323045",1
"1213650","1550947",1
"1214057","1623509",1
"1214796","1580297",1
"1215424","1677337",1
"1216371","1659975",1
"1219302","1450489",1
"121970","1533194",1
"1220412","1632164",1
"1221384","1492652",1
"1221752","1356817",1
"1222127","1353862",1
"1222464","1504673",1
"122294","1138244",1
"1223428","1436584",1
"1223428","1708504",1
"1223786","1667763",1
"1224484","1683523",2
"1226108","1361445",1
"1226356","1573385",5
"1226367","1355870",1
"1226414","1357525",1
"1226550","1628259",1
"1226880","1357931",1
"1227770","1590723",1
"1228036","1359161",1
"1228702","1359869",1
"1230133","1482912",1
"1230133","1483394",1
"1230827","1361943",1
"1231588","1366247",2
"1232496","1365963",1
"1232496","1365967",1
"1232496","1365984",1
"1232496","1365991",1
"1232496","1365994",1
"1233941","1366729",1
"1234024","1366775",1
"1234957","1367382",1
"1234957","1450455",1
"1235664","1517765",1
"1235664","1526105",1
"1235664","1526108",1
"1236831","1368732",1
"1236831","1452026",1
"1236958","1366717",1
"1237368","1670026",1
"1238291","1369681",1
"1239793","1555505",1
"1240393","1491208",1
"1241592","1372504",1
"1241592","1372507",1
"1241938","1372507",1
"1242144","1546904",1
"1243055","1518504",1
"1243282","1360981",1
"1243510","1495599",1
"1244017","1373975",1
"1244403","1718987",1
"1244403","1718992",1
"1244403","1719498",1
"1245065","1260804",1
"1245065","1615224",1
"1245278","1546904",1
"1245347","1451361",1
"1245379","1374950",1
"1245564","1392211",1
"124608","1548437",2
"124608","439590",1
"1246338","1611740",1
"1246378","1467248",1
"1246529","1448368",1
"1246529","1448370",1
"1246529","1448371",1
"1246529","1720484",1
"1246566","1448368",1
"1246566","1448370",1
"1246566","1448371",1
